:START_ID,:END_ID,:TYPE
IT_66C,LE_66C_1,REQUIRES_ELEMENT
IT_66C,LE_66C_2,REQUIRES_ELEMENT
IT_66C,LE_66C_3,REQUIRES_ELEMENT
IT_66D,LE_66D_1,REQUIRES_ELEMENT
IT_66D,LE_66D_2,REQUIRES_ELEMENT
IT_66D,LE_66D_3,REQUIRES_ELEMENT
IT_43,LE_43_1,REQUIRES_ELEMENT
IT_43,LE_43_2,REQUIRES_ELEMENT
IT_72,LE_72_1,REQUIRES_ELEMENT
IT_72,LE_72_2,REQUIRES_ELEMENT
BNS_318,LE_318_1,REQUIRES_ELEMENT
BNS_318,LE_318_2,REQUIRES_ELEMENT
BNS_318,LE_318_3,REQUIRES_ELEMENT
BNS_318,LE_318_4,REQUIRES_ELEMENT
BNS_319,LE_319_1,REQUIRES_ELEMENT
BNS_319,LE_319_2,REQUIRES_ELEMENT
BNS_319,LE_319_3,REQUIRES_ELEMENT
PMLA_3,LE_PMLA_1,REQUIRES_ELEMENT
PMLA_3,LE_PMLA_2,REQUIRES_ELEMENT
PMLA_3,LE_PMLA_3,REQUIRES_ELEMENT
PMLA_3,LE_PMLA_4,REQUIRES_ELEMENT
BSA_63,LE_BSA_63_1,REQUIRES_ELEMENT
BSA_63,LE_BSA_63_2,REQUIRES_ELEMENT
BSA_63,LE_BSA_63_3,REQUIRES_ELEMENT
BSA_63,LE_BSA_63_4,REQUIRES_ELEMENT
BNSS_94,LE_BNSS_94_1,REQUIRES_ELEMENT
BNSS_94,LE_BNSS_94_2,REQUIRES_ELEMENT
BNSS_175,LE_BNSS_175_1,REQUIRES_ELEMENT
BNSS_175,LE_BNSS_175_2,REQUIRES_ELEMENT
